point_id,traj,lon,lat,year,ndvi_max,n_images_that_year
c1_001,1,-90.056184,21.12301254272461,1985.0,0.7408540844917297,6
c1_002,1,-89.984506,21.126246,1985.0,0.7344622611999512,6
c1_003,1,-90.070197,21.140798,1985.0,0.772276759147644,6
c1_004,1,-90.057801,21.145648,1985.0,0.7862095236778259,6
c1_005,1,-90.024926,21.145379,1985.0,0.6613618731498718,6
c1_006,1,-89.979386,21.130288,1985.0,0.7005257606506348,6
c1_007,1,-90.08636474609375,21.137025,1985.0,0.8064375519752502,6
c1_008,1,-89.952169,21.14322280883789,1985.0,0.7446337938308716,6
c1_009,1,-90.055106,21.138911,1985.0,0.531893789768219,6
c1_010,1,-89.945702,21.14322280883789,1985.0,0.7295476794242859,6
c1_011,1,-89.958098,21.149151,1985.0,0.7286386489868164,6
c1_012,1,-90.036783,21.117354,1985.0,0.7714957594871521,6
c1_013,1,-90.113042,21.085018157958984,1985.0,0.773796558380127,6
c1_014,1,-89.944085,21.154002,1985.0,0.7958336472511292,6
c1_015,1,-90.065885,21.113581,1985.0,0.7270751595497131,6
c1_016,1,-90.064538,21.121126174926758,1985.0,0.7280204892158508,6
c1_017,1,-90.01280212402344,21.122474,1985.0,0.704245924949646,6
c1_018,1,-90.013608,21.150499,1985.0,0.7422580122947693,6
c1_019,1,-90.075856,21.141876220703125,1985.0,0.7419984340667725,6
c1_020,1,-90.063729,21.119510650634766,1985.0,0.7229192852973938,6
c1_021,1,-90.112234,21.128671646118164,1985.0,0.6817981600761414,6
c1_022,1,-89.970224,21.131635665893555,1985.0,0.6630123257637024,6
c1_023,1,-90.049448,21.111425399780273,1985.0,0.6554846167564392,6
c1_024,1,-90.076933,21.135408401489258,1985.0,0.7293924689292908,6
c1_025,1,-90.09391021728516,21.143762,1985.0,0.8405565619468689,6
c1_026,1,-89.940852,21.145917892456055,1985.0,0.7752930521965027,6
c1_027,1,-89.945163,21.154002,1985.0,0.7551718950271606,6
c1_028,1,-90.098491,21.127324,1985.0,0.7974536418914795,6
c1_029,1,-90.003368,21.149421,1985.0,0.6947789788246155,6
c1_030,1,-89.972918,21.124629,1985.0,0.7380471229553223,6
c1_031,1,-90.003907,21.124359130859375,1985.0,0.749589741230011,6
c1_032,1,-90.066694,21.0987606048584,1985.0,0.7387255430221558,6
c1_033,1,-89.994745,21.123552322387695,1985.0,0.6545988321304321,6
c1_034,1,-90.08879089355469,21.142953,1985.0,0.8117710947990417,6
c1_035,1,-90.063191,21.110887,1985.0,0.7384644746780396,6
c1_036,1,-89.960523,21.137563705444336,1985.0,0.7627540230751038,6
