point_id,traj,lon,lat,year,ndvi_median,n_images_that_year
c1_001,1,-90.056184,21.12301254272461,1985.0,0.7020302414894104,6
c1_002,1,-89.984506,21.126246,1985.0,0.7325791716575623,6
c1_003,1,-90.070197,21.140798,1985.0,0.7342602014541626,6
c1_004,1,-90.057801,21.145648,1985.0,0.7686833143234253,6
c1_005,1,-90.024926,21.145379,1985.0,0.6208987832069397,6
c1_006,1,-89.979386,21.130288,1985.0,0.661217212677002,6
c1_007,1,-90.08636474609375,21.137025,1985.0,0.7799004912376404,6
c1_008,1,-89.952169,21.14322280883789,1985.0,0.7204933762550354,6
c1_009,1,-90.055106,21.138911,1985.0,0.4856909215450287,6
c1_010,1,-89.945702,21.14322280883789,1985.0,0.7067007422447205,6
c1_011,1,-89.958098,21.149151,1985.0,0.715709388256073,6
c1_012,1,-90.036783,21.117354,1985.0,0.7562839388847351,6
c1_013,1,-90.113042,21.085018157958984,1985.0,0.7705304026603699,6
c1_014,1,-89.944085,21.154002,1985.0,0.761777937412262,6
c1_015,1,-90.065885,21.113581,1985.0,0.7241166830062866,6
c1_016,1,-90.064538,21.121126174926758,1985.0,0.671558141708374,6
c1_017,1,-90.01280212402344,21.122474,1985.0,0.6833121180534363,6
c1_018,1,-90.013608,21.150499,1985.0,0.6256631016731262,6
c1_019,1,-90.075856,21.141876220703125,1985.0,0.7227283120155334,6
c1_020,1,-90.063729,21.119510650634766,1985.0,0.7134004235267639,6
c1_021,1,-90.112234,21.128671646118164,1985.0,0.6492224335670471,6
c1_022,1,-89.970224,21.131635665893555,1985.0,0.6303190588951111,6
c1_023,1,-90.049448,21.111425399780273,1985.0,0.6378800272941589,6
c1_024,1,-90.076933,21.135408401489258,1985.0,0.7177143096923828,6
c1_025,1,-90.09391021728516,21.143762,1985.0,0.8362867832183838,6
c1_026,1,-89.940852,21.145917892456055,1985.0,0.758874773979187,6
c1_027,1,-89.945163,21.154002,1985.0,0.7410682439804077,6
c1_028,1,-90.098491,21.127324,1985.0,0.7867801785469055,6
c1_029,1,-90.003368,21.149421,1985.0,0.6894440650939941,6
c1_030,1,-89.972918,21.124629,1985.0,0.7252060770988464,6
c1_031,1,-90.003907,21.124359130859375,1985.0,0.7277023792266846,6
c1_032,1,-90.066694,21.0987606048584,1985.0,0.6984870433807373,6
c1_033,1,-89.994745,21.123552322387695,1985.0,0.6288564205169678,6
c1_034,1,-90.08879089355469,21.142953,1985.0,0.8059896230697632,6
c1_035,1,-90.063191,21.110887,1985.0,0.7236961126327515,6
c1_036,1,-89.960523,21.137563705444336,1985.0,0.7485929131507874,6
c1_037,1,-90.094179,21.093371,1985.0,0.7257913947105408,6
c1_038,1,-90.0025634765625,21.122743,1985.0,0.6297253370285034,6
c1_039,1,-90.051334,21.132714,1985.0,0.5877478718757629,6
c1_040,1,-90.066694,21.13837242126465,1985.0,0.7297155857086182,6
c1_041,1,-90.116815,21.0882511138916,1985.0,0.7219112515449524,6
c1_042,1,-90.057801,21.148612,1985.0,0.7570110559463501,6
c1_043,1,-90.080706,21.141876220703125,1985.0,0.644164502620697,6
c1_044,1,-89.947319,21.188493728637695,1985.0,0.7597923278808594,6
c1_045,1,-89.981811,21.124091,1985.0,0.7467580437660217,6
c1_046,1,-90.058879,21.128671646118164,1985.0,0.6445660591125488,6
c1_047,1,-90.075317,21.10361099243164,1985.0,0.7562397122383118,6
c1_048,1,-90.003638,21.150768280029297,1985.0,0.6845771074295044,6
c1_049,1,-90.026543,21.122743,1985.0,0.7600193023681641,6
c1_050,1,-90.108731,21.117623,1985.0,0.7974536418914795,6
c2_001,2,-89.960253,21.154002,1985.0,0.6793656349182129,6
c2_002,2,-90.117623,21.133522033691406,1985.0,0.46858131885528564,6
c2_003,2,-90.07881927490234,21.09229278564453,1985.0,0.7133225798606873,6
c2_004,2,-89.978847,21.15022850036621,1985.0,0.7117227911949158,6
c2_005,2,-90.089329,21.09364128112793,1985.0,0.7498858571052551,6
c2_006,2,-90.11412048339844,21.100377,1985.0,0.6629862189292908,6
c2_007,2,-90.106036,21.131635665893555,1985.0,0.8059815764427185,6
c2_008,2,-90.001213,21.145379,1985.0,0.6983437538146973,6
c2_009,2,-89.963217,21.183913,1985.0,0.39781299233436584,6
c2_010,2,-90.10226440429688,21.144301,1985.0,0.7587728500366211,6
c2_011,2,-89.958636,21.125438,1985.0,0.6888626217842102,6
c2_012,2,-90.097413,21.149959564208984,1985.0,0.8143449425697327,6
c2_013,2,-90.100647,21.106845,1985.0,0.6900652050971985,6
c2_014,2,-90.04594421386719,21.111156463623047,1985.0,0.5407888889312744,6
c2_015,2,-90.068849,21.102802276611328,1985.0,0.7941615581512451,6
c2_016,2,-90.118162,21.135947,1985.0,0.457224041223526,6
c2_017,2,-89.96214294433594,21.120587,1985.0,0.6973198056221008,6
