date,t2m_c_c1,t2m_min_c_c1,t2m_max_c_c1,skin_t_c_c1,precip_mm_c1,evap_mm_c1,pot_evap_mm_c1,evap_gap_mm_c1,t2m_c_c2,t2m_min_c_c2,t2m_max_c_c2,skin_t_c_c2,precip_mm_c2,evap_mm_c2,pot_evap_mm_c2,evap_gap_mm_c2
1950-01-02,23.075193536069946,21.321366610901578,26.6814832181484,23.271911304568107,0.8940420165909674,2.2041828894161677,18.472876012661203,16.268693123245036,23.075193536069946,21.321366610901578,26.6814832181484,23.271911304568107,0.8940420165909674,2.2041828894161677,18.472876012661203,16.268693123245036
1950-01-03,23.139366101664336,19.685333834571225,27.94117091529256,23.313623087409326,0.003149812494598535,1.7234798777991513,25.140125384503744,23.416645506704594,23.139366101664336,19.685333834571225,27.94117091529256,23.313623087409326,0.003149812494598535,1.7234798777991513,25.140125384503744,23.416645506704594
1950-01-04,24.57653564394002,21.53351438709774,28.923180018280846,24.603233750717095,0.023601911835223637,1.457667216401404,28.45058720342371,26.992919987022304,24.57653564394002,21.53351438709774,28.923180018280846,24.603233750717095,0.023601911835223637,1.457667216401404,28.45058720342371,26.992919987022304
1950-01-05,25.577191766494934,22.420472241623543,30.180534088145464,25.76282499442584,0.01066358902371236,1.6454856766649597,27.028693014171253,25.383207337506292,25.577191766494934,22.420472241623543,30.180534088145464,25.76282499442584,0.01066358902371236,1.6454856766649597,27.028693014171253,25.383207337506292
1950-01-06,25.36245030542767,22.502023164937896,28.99239985676627,25.655000349741215,0.0160001467633894,1.4185340285784083,24.287883201486082,22.869349172907675,25.36245030542767,22.502023164937896,28.99239985676627,25.655000349741215,0.0160001467633894,1.4185340285784083,24.287883201486082,22.869349172907675
1950-01-07,24.05748107500756,21.401701662950984,27.548258230996055,24.507802975708387,0.6092544484250402,1.3167597127106663,15.746473709686233,14.429713996975567,24.05748107500756,21.401701662950984,27.548258230996055,24.507802975708387,0.6092544484250402,1.3167597127106663,15.746473709686233,14.429713996975567
1950-01-08,23.626683275501193,21.15052950416657,27.307875336757547,23.92840159040975,0.2968326920882552,1.4615691391283372,20.659005701772845,19.19743656264451,23.626683275501193,21.15052950416657,27.307875336757547,23.92840159040975,0.2968326920882552,1.4615691391283372,20.659005701772845,19.19743656264451
1950-01-09,23.498539117094708,20.686497555067888,27.397462455316884,23.76707147672397,3.9037996513520064,1.4284498902321818,22.235665151500996,20.807215261268816,23.498539117094708,20.686497555067888,27.397462455316884,23.76707147672397,3.9037996513520064,1.4284498902321818,22.235665151500996,20.807215261268816
1950-01-10,23.354453396816552,20.706703593975362,28.225255814485422,23.455321396400734,0.1565525075338726,1.9711019571669801,18.69379632718212,16.72269437001514,23.354453396816552,20.706703593975362,28.225255814485422,23.455321396400734,0.1565525075338726,1.9711019571669801,18.69379632718212,16.72269437001514
1950-01-11,24.38468245470108,21.16547921541172,28.346463513617834,24.687879914107782,0.054751728929159214,1.351131539950596,23.285027468716773,21.933895928766177,24.38468245470108,21.16547921541172,28.346463513617834,24.687879914107782,0.054751728929159214,1.351131539950596,23.285027468716773,21.933895928766177
1950-01-12,24.59138031753855,21.62743245951515,28.733844077985964,24.887730437678783,0.004706520648164135,1.3763163505793243,25.51465187590488,24.13833552532556,24.59138031753855,21.62743245951515,28.733844077985964,24.887730437678783,0.004706520648164135,1.3763163505793243,25.51465187590488,24.13833552532556
1950-01-13,24.22035594894072,20.427069724937212,29.05227846237665,24.35709316441347,0.05216236438755416,1.2147774169954373,27.877582774463775,26.662805357468336,24.22035594894072,20.427069724937212,29.05227846237665,24.35709316441347,0.05216236438755416,1.2147774169954373,27.877582774463775,26.662805357468336
1950-01-14,24.372040525568423,20.926177410946707,28.863966494859596,24.628911204940948,0.012610669435152523,1.166315505221386,28.36492655299506,27.19861104777367,24.372040525568423,20.926177410946707,28.863966494859596,24.628911204940948,0.012610669435152523,1.166315505221386,28.36492655299506,27.19861104777367
1950-01-15,24.704532073414043,21.218186157914488,29.50299028945483,25.00655364757347,0.0031835157798183926,1.1918161755907317,29.145175581269797,27.953359405679066,24.704532073414043,21.218186157914488,29.50299028945483,25.00655364757347,0.0031835157798183926,1.1918161755907317,29.145175581269797,27.953359405679066
1950-01-16,24.43883211441124,20.461693868338102,29.1969679383335,24.81158973731459,8.450884682983524E-4,1.0487785980803486,28.307698992471014,27.258920394390664,24.43883211441124,20.461693868338102,29.1969679383335,24.81158973731459,8.450884682983524E-4,1.0487785980803486,28.307698992471014,27.258920394390664
1950-01-17,24.459924404641242,21.2028150375059,28.10657050229156,24.899018288353034,0.0012778665853691651,0.9253661746277946,26.666166862474846,25.740800687847052,24.459924404641242,21.2028150375059,28.10657050229156,24.899018288353034,0.0012778665853691651,0.9253661746277946,26.666166862474846,25.740800687847052
1950-01-18,23.779893471929427,20.747107733349935,27.49631311000752,24.212262411857523,0.1803580640913864,0.8743082407065446,22.860740675246802,21.98643243454026,23.779893471929427,20.747107733349935,27.49631311000752,24.212262411857523,0.1803580640913864,0.8743082407065446,22.860740675246802,21.98643243454026
1950-01-19,23.59281312065326,20.49831447836459,27.454975249910888,24.16260283737637,0.24815609448356993,0.8349317306729424,19.357595549435125,18.522663818762183,23.59281312065326,20.49831447836459,27.454975249910888,24.16260283737637,0.24815609448356993,0.8349317306729424,19.357595549435125,18.522663818762183
1950-01-20,23.1957641090965,21.070523287352103,25.99121115463805,23.500798804773524,1.03100765045415,1.0599045279098256,17.436415594767922,16.376511066858097,23.1957641090965,21.070523287352103,25.99121115463805,23.500798804773524,1.03100765045415,1.0599045279098256,17.436415594767922,16.376511066858097
1950-01-21,22.983811911492694,20.622897288344916,26.42003003772436,23.25132755397351,1.5370409197985502,1.4047790423702207,17.894020505504056,16.489241463133837,22.983811911492694,20.622897288344916,26.42003003772436,23.25132755397351,1.5370409197985502,1.4047790423702207,17.894020505504056,16.489241463133837
1950-01-22,23.27057900598402,20.491470752916143,27.327535310955454,23.766191537321276,0.3916200185749116,0.9562907548238793,19.3153608901352,18.35907013531132,23.27057900598402,20.491470752916143,27.327535310955454,23.766191537321276,0.3916200185749116,0.9562907548238793,19.3153608901352,18.35907013531132
1950-01-23,23.390395355762053,19.713826863234033,28.01623230087955,23.94518848664154,0.03053855617028999,0.918913809776138,22.460360485468584,21.541446675692445,23.390395355762053,19.713826863234033,28.01623230087955,23.94518848664154,0.03053855617028999,0.918913809776138,22.460360485468584,21.541446675692445
1950-01-24,24.618353553253257,21.09594247891215,30.535291377622116,24.95604753636445,0.04676533603766453,0.8468720425535734,28.87205541784723,28.025183375293654,24.618353553253257,21.09594247891215,30.535291377622116,24.95604753636445,0.04676533603766453,0.8468720425535734,28.87205541784723,28.025183375293654
1950-01-25,25.669432860461086,22.329053751269328,31.092051138345482,26.004647865667437,0.0037224047730292933,0.8366046884753578,33.96072389322419,33.12411920474884,25.669432860461086,22.329053751269328,31.092051138345482,26.004647865667437,0.0037224047730292933,0.8366046884753578,33.96072389322419,33.12411920474884
1950-01-26,25.803487202974907,21.787000695228926,30.667506167367208,26.22827624784219,0.04358917951383435,0.798047015357496,32.39662740044966,31.598580385092163,25.803487202974907,21.787000695228926,30.667506167367208,26.22827624784219,0.04358917951383435,0.798047015357496,32.39662740044966,31.598580385092163
1950-01-27,24.970531150904947,21.441409417851446,28.32575700362827,25.47425382246206,0.21095482226986326,0.6906856537027942,26.174852011089563,25.48416635738677,24.970531150904947,21.441409417851446,28.32575700362827,25.47425382246206,0.21095482226986326,0.6906856537027942,26.174852011089563,25.48416635738677
1950-01-28,23.85809935766514,20.625893530823703,28.076536169317478,24.436328840597355,0.016207946237217875,0.652408553074157,24.003318321667063,23.350909768592906,23.85809935766514,20.625893530823703,28.076536169317478,24.436328840597355,0.016207946237217875,0.652408553074157,24.003318321667063,23.350909768592906
1950-01-29,24.410180284697958,20.371888590480467,29.770598432185466,24.881680288848884,0.0021598668565147644,0.6921392310753216,32.633567166584555,31.941427935509232,24.410180284697958,20.371888590480467,29.770598432185466,24.881680288848884,0.0021598668565147644,0.6921392310753216,32.633567166584555,31.941427935509232
1950-01-30,24.873798909534116,20.79635758462109,29.360003246107112,25.338782336038207,0.014951512060641364,0.5805806908658081,33.03671505941224,32.45613436854643,24.873798909534116,20.79635758462109,29.360003246107112,25.338782336038207,0.014951512060641364,0.5805806908658081,33.03671505941224,32.45613436854643
