date,temp_surface_c,temp_bottom_c,salinity_surface_psu,salinity_bottom_psu,bottom_level_m
1995-01-01,23.101,23.078,36.407,36.407,8
1995-01-02,23.078,23.055,36.41,36.41,8
1995-01-03,23.155,23.14,36.408,36.408,8
1995-01-04,23.346,23.288,36.39,36.405,8
1995-01-05,23.303,23.277,36.362,36.364000000000004,8
1995-01-06,23.579,23.451999999999998,36.354,36.356,8
1995-01-07,23.794,23.433,36.361000000000004,36.359,8
1995-01-08,23.859,23.799,36.368,36.368,8
1995-01-09,24.091,24.066,36.356,36.357,8
1995-01-10,24.065,24.035,36.347,36.348,8
1995-01-11,23.823,23.786,36.361000000000004,36.362,8
1995-01-12,23.728,23.695,36.379000000000005,36.379000000000005,8
1995-01-13,23.823,23.805,36.399,36.399,8
1995-01-14,23.607,23.499,36.413,36.413,8
1995-01-15,23.53,23.494,36.417,36.418,8
1995-01-16,23.458,23.421,36.436,36.436,8
1995-01-17,23.352,23.307,36.447,36.448,8
1995-01-18,23.292,22.98,36.457,36.453,8
1995-01-19,23.12,22.626,36.472,36.47,8
1995-01-20,22.891,22.867,36.463,36.464,8
1995-01-21,22.849,22.813,36.474000000000004,36.475,8
1995-01-22,22.514,22.478,36.5,36.501000000000005,8
1995-01-23,22.333,22.288,36.509,36.509,8
1995-01-24,22.576999999999998,22.537,36.501000000000005,36.501999999999995,8
1995-01-25,22.567,22.54,36.498999999999995,36.5,8
1995-01-26,22.415,22.391,36.503,36.504000000000005,8
1995-01-27,22.542,22.516,36.501000000000005,36.501999999999995,8
1995-01-28,22.903,22.347,36.513999999999996,36.507999999999996,8
1995-01-29,22.764,22.294,36.524,36.522999999999996,8
1995-01-30,22.814,22.705,36.513999999999996,36.516000000000005,8
1995-01-31,22.839,22.813,36.49,36.491,8
1995-02-01,22.546,22.508,36.503,36.504000000000005,8
1995-02-02,22.444,22.395,36.510999999999996,36.510999999999996,8
1995-02-03,22.446,22.416,36.510999999999996,36.512,8
1995-02-04,22.587,22.274,36.510000000000005,36.510999999999996,8
1995-02-05,22.555,22.514,36.507999999999996,36.509,8
1995-02-06,22.297,22.251,36.519999999999996,36.521,8
1995-02-07,22.157,22.12,36.525999999999996,36.527,8
1995-02-08,21.926,21.697,36.532,36.531,8
1995-02-09,22.093,22.069,36.528999999999996,36.528999999999996,8
1995-02-10,22.233,22.201,36.531,36.532,8
1995-02-11,22.454,21.951999999999998,36.554,36.548,8
1995-02-12,22.287,22.001,36.569,36.569,8
1995-02-13,22.581,22.211,36.567,36.57,8
1995-02-14,22.908,22.451,36.563,36.562,8
1995-02-15,23.121,22.703,36.563,36.562,8
1995-02-16,23.477,22.95,36.567,36.562,8
1995-02-17,23.898,23.007,36.579,36.571,8
1995-02-18,23.444,23.414,36.577,36.578,8
1995-02-19,23.631,23.512999999999998,36.55,36.551,8
1995-02-20,23.809,23.784,36.542,36.543,8
1995-02-21,23.91,23.893,36.557,36.557,8
1995-02-22,23.729,23.692,36.577,36.578,8
1995-02-23,23.822,23.782,36.582,36.583,8
1995-02-24,23.862000000000002,23.826,36.576,36.577,8
1995-02-25,23.782,23.748,36.57,36.571,8
1995-02-26,23.596,23.559,36.585,36.587,8
1995-02-27,23.326,23.297,36.597,36.598,8
1995-02-28,23.459,23.421,36.599000000000004,36.6,8
1995-03-01,23.868,23.457,36.602000000000004,36.601,8
1995-03-02,23.954,23.931,36.598,36.598,8
1995-03-03,23.724,23.701,36.596000000000004,36.596000000000004,8
1995-03-04,23.913,23.879,36.593,36.594,8
1995-03-05,24.098,24.070999999999998,36.586,36.587,8
1995-03-06,24.211,24.176000000000002,36.592,36.592,8
1995-03-07,24.207,24.188,36.601,36.602000000000004,8
1995-03-08,25.431,23.988,36.613,36.606,8
1995-03-09,23.882,23.864,36.602000000000004,36.603,8
1995-03-10,23.341,23.295,36.591,36.592,8
1995-03-11,23.308,23.264,36.605000000000004,36.606,8
1995-03-12,23.305,23.274,36.618,36.619,8
1995-03-13,23.333,23.304000000000002,36.620000000000005,36.620999999999995,8
1995-03-14,23.321,23.302,36.620000000000005,36.620000000000005,8
1995-03-15,23.745,23.162,36.617000000000004,36.620000000000005,8
1995-03-16,23.584,23.521,36.612,36.614000000000004,8
1995-03-17,23.29,23.265,36.565,36.565,8
1995-03-18,23.447,23.409,36.569,36.569,8
1995-03-19,23.478,23.438,36.577,36.577,8
1995-03-20,23.559,23.486,36.578,36.578,8
1995-03-21,23.613,23.556,36.583,36.583,8
1995-03-22,23.818,23.748,36.595,36.594,8
1995-03-23,24.201,23.94,36.606,36.603,8
1995-03-24,24.533,24.226,36.611000000000004,36.612,8
1995-03-25,24.544,24.441,36.606,36.607,8
1995-03-26,24.596,24.515,36.604,36.604,8
1995-03-27,24.892,24.785,36.620000000000005,36.619,8
1995-03-28,25.214,25.103,36.617000000000004,36.619,8
1995-03-29,25.615000000000002,25.531,36.606,36.606,8
1995-03-30,25.674,25.594,36.603,36.604,8
1995-03-31,25.735,25.662,36.592,36.594,8
1995-04-01,25.625,25.595,36.598,36.598,8
1995-04-02,25.794,25.761,36.6,36.601,8
