date,temp_surface_c,temp_bottom_c,salinity_surface_psu,salinity_bottom_psu,bottom_level_m
2020-06-20,29.21762222222222,29.199244444444446,36.14125555555555,36.141333333333336,6.488888888888888
2020-06-20,29.16572222222222,29.137555555555554,36.14443333333333,36.14518888888889,6.488888888888888
2020-06-20,29.09758888888889,29.058077777777775,36.14843333333334,36.14987777777778,6.488888888888888
2020-06-20,29.122733333333333,29.076844444444443,36.156733333333335,36.15356666666667,6.488888888888888
2020-06-20,29.375933333333332,29.14786666666667,36.16526666666666,36.15647777777778,6.488888888888888
2020-06-20,29.556755555555558,29.228266666666666,36.17287777777778,36.15977777777777,6.488888888888888
2020-06-21,29.544633333333334,29.420211111111108,36.1755,36.17100000000001,6.488888888888888
2020-06-21,29.439433333333334,29.40554444444444,36.18008888888888,36.1816,6.488888888888888
2020-06-21,29.379244444444446,29.342922222222224,36.18653333333333,36.188044444444444,6.488888888888888
2020-06-21,29.315066666666667,29.279933333333332,36.192122222222224,36.193799999999996,6.488888888888888
2020-06-21,29.233888888888888,29.189255555555555,36.19841111111111,36.20016666666667,6.488888888888888
2020-06-21,29.244866666666667,29.206666666666667,36.20792222222222,36.204899999999995,6.488888888888888
2020-06-21,29.4726,29.275599999999994,36.2176,36.20826666666667,6.488888888888888
2020-06-21,29.596466666666664,29.413144444444445,36.22503333333333,36.21487777777777,6.488888888888888
2020-06-22,29.610599999999994,29.539277777777777,36.22831111111112,36.228366666666666,6.488888888888888
2020-06-22,29.523022222222224,29.482733333333336,36.23564444444444,36.237233333333336,6.488888888888888
2020-06-22,29.44285555555555,29.42096666666667,36.24274444444445,36.243744444444445,6.488888888888888
2020-06-22,29.37131111111111,29.35386666666667,36.249177777777774,36.2494,6.488888888888888
2020-06-22,29.30174444444445,29.264599999999994,36.25483333333333,36.255833333333335,6.488888888888888
2020-06-22,29.323833333333337,29.28584444444444,36.263577777777776,36.261100000000006,6.488888888888888
2020-06-22,29.52727777777778,29.384488888888885,36.271255555555555,36.26458888888889,6.488888888888888
2020-06-22,29.700888888888887,29.499577777777777,36.27868888888888,36.26841111111111,6.488888888888888
2020-06-23,29.72053333333333,29.643977777777774,36.27983333333333,36.27916666666667,6.488888888888888
2020-06-23,29.61895555555555,29.597944444444444,36.286611111111114,36.28706666666666,6.488888888888888
2020-06-23,29.534644444444442,29.514188888888892,36.29352222222222,36.2945,6.488888888888888
2020-06-23,29.4526,29.433588888888888,36.300177777777776,36.300844444444444,6.488888888888888
2020-06-23,29.393666666666668,29.36828888888889,36.30568888888889,36.30566666666667,6.488888888888888
2020-06-23,29.393366666666665,29.367322222222217,36.31234444444444,36.31032222222222,6.488888888888888
2020-06-23,29.516455555555556,29.449822222222224,36.318333333333335,36.31442222222222,6.488888888888888
2020-06-23,29.624777777777776,29.550511111111106,36.32432222222222,36.31883333333334,6.488888888888888
2020-06-24,29.656255555555557,29.601199999999995,36.3253,36.326144444444445,6.488888888888888
2020-06-24,29.55821111111111,29.54145555555555,36.331488888888885,36.33171111111111,6.488888888888888
2020-06-24,29.4915,29.4783,36.33624444444444,36.336388888888884,6.488888888888888
2020-06-24,29.423511111111107,29.40561111111111,36.34031111111111,36.341455555555555,6.488888888888888
2020-06-24,29.34904444444445,29.32926666666667,36.34437777777778,36.34504444444444,6.488888888888888
2020-06-24,29.356577777777783,29.330399999999997,36.35027777777778,36.348644444444446,6.488888888888888
2020-06-24,29.48791111111111,29.41291111111111,36.354955555555556,36.35113333333334,6.488888888888888
2020-06-24,29.59432222222222,29.5196,36.359188888888895,36.35462222222222,6.488888888888888
2020-06-25,29.630266666666664,29.573655555555554,36.36002222222222,36.36071111111111,6.488888888888888
2020-06-25,29.539622222222217,29.523155555555558,36.3646,36.36518888888889,6.488888888888888
2020-06-25,29.460188888888887,29.43906666666667,36.36927777777778,36.370255555555545,6.488888888888888
2020-06-25,29.36552222222222,29.344844444444444,36.374011111111116,36.37493333333334,6.488888888888888
2020-06-25,29.27064444444444,29.242044444444446,36.378,36.37866666666666,6.488888888888888
