date,wind_u_ms,wind_v_ms,wind_speed_ms,sst_c,hs_mean_m,hs_max_m,tp_mean_s,wave_dir_deg,wave_power_kw_m
1995-01-01,-5.133208155632019,-0.6929811164736748,5.956461668014526,24.924615478515648,0.5918870468934377,0.8443528811136881,4.223930915196736,19.326154941348438,0.7325347328823377
1995-01-02,-5.12320613861084,-5.410418033599853,7.529056191444397,24.86585388183596,0.8276149034500121,1.2459556261698406,4.507689476013184,54.705827155453676,1.654513585452524
1995-01-03,-4.313971519470215,-1.6545908153057098,5.407323479652406,24.924127197265648,1.0482190052668252,1.297072410583496,7.603382269541423,80.97552444195642,3.869749968848378
1995-01-04,-2.116233706474304,0.36984892562031746,4.334716200828552,25.077279663085964,0.7177602847417195,0.860536257425944,6.818473180135092,70.6447307297325,1.6289012033095926
1995-01-05,-1.8094781339168549,-1.0358020961284637,3.0936119556427,25.25062713623049,0.8210475246111552,1.1604084968566895,7.723861217498779,104.03041592997785,2.6570532345009825
1995-01-06,-3.141226828098297,3.501290798187256,5.9505743980407715,25.421426391601585,1.08730681737264,1.2337323824564617,7.841134389241537,39.11556847692842,4.321545705104011
1995-01-07,-1.1388773620128632,1.2414398193359375,4.060860991477966,25.56588134765627,0.6194798747698466,0.7987189292907715,6.480515638987224,110.43777160620601,1.2509170930073013
1995-01-08,-6.93462347984314,-5.475623726844788,9.093566656112671,25.65956268310549,1.1884685357411702,1.4452168146769206,5.53358538945516,57.440384672464354,3.6322905885801995
1995-01-09,-7.6328755617141715,-2.460715353488922,8.313869833946228,25.672647094726585,1.0075367093086243,1.2424009641011555,5.156716982523601,34.16449907051,2.437795291091663
1995-01-10,-7.8265109062194815,-0.6921342872083187,8.427117824554443,25.600579833984394,0.983208179473877,1.2673610051472983,4.85604747136434,16.58410699933762,2.2669880425545696
1995-01-11,-7.494857907295228,0.4267673650756478,8.174296736717222,25.45594940185549,0.9887941082318624,1.2521583239237468,4.884646574656169,6.716167981825853,2.323444411464447
1995-01-12,-6.641502380371095,0.8023473620414733,7.41935694217682,25.252511596679714,0.8751220107078552,1.1564222176869712,4.751435915629069,5.196318993887776,1.8001953742219745
1995-01-13,-3.4372860193252563,4.840562701225281,8.061329364776611,25.008630371093773,0.9671499133110045,1.3742956320444741,4.6705307960510245,318.26777345755477,2.2215255736320287
1995-01-14,3.754834711551666,-5.752298474311829,7.048498630523682,24.804246520996116,0.9383761684099833,1.4854470888773599,4.8488694826761884,120.72410079096046,2.4705272002179504
1995-01-15,5.449493527412415,-4.338912129402161,6.994678616523742,24.681581115722683,1.4917670488357544,1.550464630126953,8.398187637329102,124.65746694674537,8.382947118938207
1995-01-16,-0.8031987845897675,-2.1091665029525757,3.128975093364716,24.607637023925804,1.0113752086957295,1.343578815460205,8.235341707865398,114.57735825603619,4.001661115691044
1995-01-17,-6.297120094299316,1.8068013191223147,7.799091696739196,24.54844055175784,0.9081698258717854,1.1247242291768393,4.8657972017923985,240.71232352557112,1.8679055203966193
1995-01-18,-5.729806900024414,2.170094132423401,7.245548844337463,24.47699890136721,0.827797293663025,1.1627418200174966,4.364178578058878,343.85108305668695,1.510440167491843
1995-01-19,-1.7785936892032623,-3.280314087867736,5.783082127571105,24.439599609375023,0.7410782178243001,1.9031781355539956,4.467511574427287,34.384528325005064,2.228237355518906
1995-01-20,-3.9682986736297607,-6.830847144126892,7.980487942695617,24.46873626708987,1.5909958283106487,1.9270856380462646,8.028218905131022,95.2686557054094,9.140436435411347
1995-01-21,-4.731150150299072,-4.627654790878296,6.682761907577515,24.52441558837893,0.9827844897905985,1.2735447883605957,6.741254488627116,74.55740274202232,3.021352342905669
1995-01-22,-6.604358434677125,-1.570781946182251,7.247442483901977,24.565583801269554,0.7739433646202087,0.8933887481689454,4.571279366811116,37.8019924489132,1.2455885202301333
1995-01-23,-3.5092458724975586,-0.7307586967945099,5.692932844161987,24.55561981201174,0.5837710698445637,0.860630989074707,4.06368605295817,25.70553857526056,0.6675101138421351
1995-01-24,-7.021007061004639,-7.078665137290955,10.245445966720581,24.49926910400393,1.6538029909133911,1.7804418404897053,7.067752202351889,73.07144770026463,8.867848238306314
1995-01-25,-9.359500885009766,-2.680665612220764,9.897534370422363,24.42975769042971,1.4969565471013386,1.7254919211069744,6.2458408673604335,38.34531330991418,6.435748773878733
1995-01-26,-7.636956214904786,-0.47155544161796564,8.202170968055725,24.35605773925783,1.0978238185246787,1.4271015326182048,5.932893276214599,22.690488262737652,3.5440322453801083
1995-01-27,-6.2728744745254525,1.4986294507980347,7.47372603416443,24.286317443847675,0.9677355090777079,1.3039408524831138,4.970383485158285,237.5421952625903,2.3977361016807937
1995-01-28,-3.557262301445007,2.6960256695747375,6.254994273185731,24.233529663085964,0.6810274124145508,1.002888520558675,4.4170403480529785,326.02318194081585,1.0087772421671106
1995-01-29,-1.6674006581306458,-0.269398033618927,4.797333478927612,24.24469909667971,0.4262577394644419,0.5781137148539225,3.4938784440358477,19.53811659367434,0.3049233316854084
1995-01-30,-2.2360124588012695,-9.039906740188599,9.49106764793396,24.31788024902346,1.391889254252116,2.0561352570851645,5.6651530265808105,90.78849148211076,6.421575778622074
1995-01-31,-1.6779259741306305,-7.796669006347656,8.039870142936707,24.393647766113304,1.5657587051391604,2.018543243408203,7.778127829233806,96.91862806925144,8.602642157133342
1995-02-01,-2.89652955532074,-2.586124062538147,4.0529884696006775,24.409806823730495,0.8358156879742941,1.1822094917297363,7.020561854044597,101.39653603912168,2.325948247441427
1995-02-02,-6.303756117820741,-2.5639987587928776,7.232699036598206,24.316293334960957,0.7443923950195311,0.9071938196818033,4.42786423365275,45.84051243906936,1.1081032629759984
1995-02-03,-5.154832363128662,-0.01778796687722207,6.555630922317505,24.161843872070335,0.7405433257420858,1.0680095354715984,4.303039789199829,13.723600820477127,1.2425876231355995
1995-02-04,-0.5962237305939198,-7.636249303817749,7.865000605583191,24.019250488281273,1.114612102508545,2.1141910552978516,5.007774988810222,84.50517033869245,5.6943831590128955
1995-02-05,-0.31468604505062103,-4.786181330680847,4.868712544441223,23.87849578857424,1.5358928839365642,2.038161277770996,9.043672879536947,105.1979567569112,10.03655102191645
1995-02-06,-3.3199518322944637,-3.6021201014518742,5.217950701713561,23.726678466796898,0.814790149529775,1.0283250013987224,7.225685278574625,90.17201454182737,2.222145656905785
1995-02-07,-4.2891029715538025,0.16375618730671704,5.744954347610474,23.560037231445335,0.6734941800435384,0.8120563824971517,4.845491250356038,38.00835885705294,0.9706275157878765
1995-02-08,-5.818795561790466,-4.629149794578551,7.734932541847229,23.44027099609377,0.8612763086954753,1.3730598290761309,4.8190477689107265,51.834577980733,1.6828278517089899
1995-02-09,-7.08638882637024,-3.400364518165589,8.315142393112183,23.41345367431643,1.4242926438649497,1.7330572605133054,7.473716576894125,61.43943479899197,6.902011771266596
1995-02-10,-5.126582145690918,2.0353276729583736,7.085805654525757,23.454644775390648,0.9826824466387433,1.1525087356567383,5.663216908772786,239.20673516990763,2.6675489121853584
1995-02-11,-2.9515482783317566,4.941545724868774,7.3813949823379525,23.537004089355488,0.864202876885732,1.1819440523783364,4.696873029073079,310.5910234189509,1.724157656052108
1995-02-12,-1.4315146803855896,-1.157967209815979,2.908837616443634,23.635003662109394,0.31919753551483154,0.48473310470581055,3.632569233576457,316.79345309502577,0.19752728038996475
1995-02-13,-3.4217739701271057,-0.6010673493146896,5.517338037490846,23.71687469482424,0.8903135855992635,1.0272793769836424,7.047154267628987,73.77455417633695,2.6735010613583734
1995-02-14,-2.9743818044662476,0.02453598566353322,5.1067955493927,23.78025970458987,0.7516722281773884,0.8597539265950522,7.352166334788004,54.59740248279481,1.8849266379035166
1995-02-15,-4.9811564683914185,1.7117033600807188,6.734004259109497,23.843789672851585,0.7652872602144877,0.9958125750223794,5.300627867380778,237.61764343225266,1.4516618813517252
