system:index,date,mean
1_1_LT05_021045_19850128_84,1985-01-28,0.5575115187504465
1_1_LT05_021045_19850128_85,1985-01-28,0.5718952344220654
1_1_LT05_021045_19850128_86,1985-01-28,0.3357530678218959
1_1_LT05_021045_19850128_87,1985-01-28,0.7511447547738275
1_1_LT05_021045_19850128_88,1985-01-28,0.8203711497924137
1_1_LT05_021045_19850128_89,1985-01-28,0.6384907300156362
1_1_LT05_021045_19850128_90,1985-01-28,0.39694443436007426
1_1_LT05_021045_19850128_91,1985-01-28,0.7813506281809537
1_1_LT05_021045_19850128_92,1985-01-28,0.22681471139325646
1_1_LT05_021045_19850128_93,1985-01-28,0.7591955904478741
1_1_LT05_021045_19850128_94,1985-01-28,0.4409270982311031
1_1_LT05_021045_19850128_95,1985-01-28,0.5038755845819103
1_1_LT05_021045_19850128_96,1985-01-28,0.558426049979612
1_1_LT05_021045_19850128_97,1985-01-28,0.7698467309718732
1_1_LT05_021045_19850128_98,1985-01-28,0.4090665517531473
1_1_LT05_021045_19850128_99,1985-01-28,0.6936641661747439
1_1_LT05_021045_19850128_100,1985-01-28,0.6411781788655856
1_1_LT05_021045_19850128_101,1985-01-28,0.7626907148605571
1_1_LT05_021045_19850128_102,1985-01-28,0.5146075906052929
1_1_LT05_021045_19850128_103,1985-01-28,0.7452749973072837
1_1_LT05_021045_19850128_104,1985-01-28,0.6528697107882555
1_1_LT05_021045_19850128_105,1985-01-28,0.6190926132736622
1_1_LT05_021045_19850128_106,1985-01-28,0.5297825421312259
1_1_LT05_021045_19850128_107,1985-01-28,0.7418043061509384
1_1_LT05_021045_19850128_108,1985-01-28,0.7641087481814208
1_1_LT05_021045_19850128_109,1985-01-28,0.7770820678303151
1_1_LT05_021045_19850128_110,1985-01-28,0.7627589696348706
1_1_LT05_021045_19850128_111,1985-01-28,0.7639526202005785
1_1_LT05_021045_19850128_112,1985-01-28,0.824057793577761
1_1_LT05_021045_19850128_113,1985-01-28,0.7419737156248659
1_1_LT05_021045_19850128_114,1985-01-28,0.7335215462525323
1_1_LT05_021045_19850128_115,1985-01-28,0.681670087878153
1_1_LT05_021045_19850128_116,1985-01-28,0.7495402731208379
1_1_LT05_021045_19850128_117,1985-01-28,0.690399791940463
1_1_LT05_021045_19850128_118,1985-01-28,0.6039456698978253
1_1_LT05_021045_19850128_119,1985-01-28,0.7097699900956754
1_1_LT05_021045_19850128_120,1985-01-28,0.7498000593442489
1_1_LT05_021045_19850128_121,1985-01-28,0.4857665851620421
1_1_LT05_021045_19850128_122,1985-01-28,0.6499380637802707
1_1_LT05_021045_19850128_123,1985-01-28,0.8135712227921598
1_1_LT05_021045_19850128_124,1985-01-28,0.6069316488112181
1_1_LT05_021045_19850128_125,1985-01-28,0.7379405506248827
1_1_LT05_021045_19850128_126,1985-01-28,0.7121156746391581
1_1_LT05_021045_19850128_127,1985-01-28,0.7468744870569015
1_1_LT05_021045_19850128_128,1985-01-28,0.7174367405402299
1_1_LT05_021045_19850128_129,1985-01-28,0.8021237726268129
1_1_LT05_021045_19850128_130,1985-01-28,0.7374866645466419
1_1_LT05_021045_19850128_131,1985-01-28,0.7270134638610473
1_1_LT05_021045_19850128_132,1985-01-28,0.8202503056326017
1_1_LT05_021045_19850128_133,1985-01-28,0.6559974294641092
1_1_LT05_021045_19850128_134,1985-01-28,0.786538861276778
1_1_LT05_021045_19850128_135,1985-01-28,0.727069331972677
1_1_LT05_021045_19850128_136,1985-01-28,0.7263389851324431
1_1_LT05_021045_19850128_137,1985-01-28,0.7606643119467684
1_1_LT05_021045_19850128_138,1985-01-28,0.7087840273015219
1_1_LT05_021045_19850128_139,1985-01-28,0.7927557078838484
1_1_LT05_021045_19850128_140,1985-01-28,0.607469363921508
1_1_LT05_021045_19850128_141,1985-01-28,0.3254573709038662
1_1_LT05_021045_19850128_142,1985-01-28,0.7938436988924817
1_1_LT05_021045_19850128_143,1985-01-28,0.641860620594942
1_1_LT05_021045_19850128_144,1985-01-28,0.6671474733296813
1_1_LT05_021045_19850128_145,1985-01-28,0.7152975665437371
1_1_LT05_021045_19850128_146,1985-01-28,0.5963607878661706
1_1_LT05_021045_19850128_147,1985-01-28,0.6849464935945684
1_1_LT05_021045_19850128_148,1985-01-28,0.7404690967486232
1_1_LT05_021045_19850128_149,1985-01-28,0.7211854469400266
1_1_LT05_021045_19850128_150,1985-01-28,0.7069834837013524
1_1_LT05_021045_19850128_151,1985-01-28,0.7694690188158292
1_1_LT05_021045_19850128_152,1985-01-28,0.6388381835916158
1_1_LT05_021045_19850128_153,1985-01-28,0.7971508707713153
1_1_LT05_021045_19850128_154,1985-01-28,0.6143154876281309
1_1_LT05_021045_19850128_155,1985-01-28,0.7512915259594686
1_1_LT05_021045_19850128_156,1985-01-28,0.7320749994570629
1_1_LT05_021045_19850128_157,1985-01-28,0.7202899267094188
1_1_LT05_021045_19850128_158,1985-01-28,0.7229164017973453
1_1_LT05_021045_19850128_159,1985-01-28,0.7517176001924555
1_1_LT05_021045_19850128_160,1985-01-28,0.7063045449710652
1_1_LT05_021045_19850128_161,1985-01-28,0.7532784343935199
1_1_LT05_021045_19850128_162,1985-01-28,0.6696152784620549
1_1_LT05_021045_19850128_163,1985-01-28,0.7486644378519657
1_1_LT05_021045_19850128_164,1985-01-28,0.7703669119072195
1_1_LT05_021045_19850128_165,1985-01-28,0.7225430767889538
1_1_LT05_021045_19850128_166,1985-01-28,0.5858782321180671
1_1_LT05_021045_19850128_167,1985-01-28,0.7704164746724245
1_1_LT05_021045_19850128_168,1985-01-28,0.8112463117566512
1_1_LT05_021045_19850128_169,1985-01-28,0.6051531979886403
1_1_LT05_021045_19850128_170,1985-01-28,0.6801776964715862
1_1_LT05_021045_19850128_171,1985-01-28,0.7387666790059338
1_1_LT05_021045_19850128_172,1985-01-28,0.603471499027124
1_1_LT05_021045_19850128_173,1985-01-28,0.6771432302452518
1_1_LT05_021045_19850128_174,1985-01-28,0.7405828932492727
1_1_LT05_021045_19850128_175,1985-01-28,0.7347470114445885
1_1_LT05_021045_19850128_176,1985-01-28,0.7079062387232422
1_1_LT05_021045_19850128_177,1985-01-28,0.7282165826885323
1_1_LT05_021045_19850128_178,1985-01-28,0.5152244724939811
1_1_LT05_021045_19850128_179,1985-01-28,0.48784004199866865
1_1_LT05_021045_19850128_180,1985-01-28,0.7024333022168368
1_1_LT05_021045_19850128_181,1985-01-28,0.7405936582308816
1_1_LT05_021045_19850128_182,1985-01-28,0.7317284664856918
1_1_LT05_021045_19850128_183,1985-01-28,0.68470836552254
1_1_LT05_021045_19850128_184,1985-01-28,0.6623115318920956
1_1_LT05_021045_19850128_185,1985-01-28,0.7268508259476449
1_1_LT05_021045_19850128_186,1985-01-28,0.6616716691027973
1_1_LT05_021045_19850128_187,1985-01-28,0.6507408365118584
1_1_LT05_021045_19850128_188,1985-01-28,0.7927128148712883
1_1_LT05_021045_19850128_189,1985-01-28,0.7114971887253738
1_1_LT05_021045_19850128_190,1985-01-28,0.6561451752645959
1_1_LT05_021045_19850128_191,1985-01-28,0.7699264448198536
1_1_LT05_021045_19850128_192,1985-01-28,0.6126080063264968
1_1_LT05_021045_19850128_193,1985-01-28,0.5719608881571748
1_1_LT05_021045_19850128_194,1985-01-28,0.7904254833763199
1_1_LT05_021045_19850128_195,1985-01-28,0.7434379677297746
1_1_LT05_021045_19850128_196,1985-01-28,0.7411405924793307
1_1_LT05_021045_19850128_197,1985-01-28,0.7131825545267816
1_1_LT05_021045_19850128_198,1985-01-28,0.5890844575673537
1_1_LT05_021045_19850128_199,1985-01-28,0.7500691746204097
1_1_LT05_020045_19850206_0,1985-02-06,
1_1_LT05_020045_19850206_1,1985-02-06,
1_1_LT05_020045_19850206_2,1985-02-06,
1_1_LT05_020045_19850206_3,1985-02-06,
1_1_LT05_020045_19850206_4,1985-02-06,
1_1_LT05_020045_19850206_5,1985-02-06,
1_1_LT05_020045_19850206_6,1985-02-06,
1_1_LT05_020045_19850206_7,1985-02-06,
1_1_LT05_020045_19850206_8,1985-02-06,
1_1_LT05_020045_19850206_9,1985-02-06,
1_1_LT05_020045_19850206_10,1985-02-06,
1_1_LT05_020045_19850206_11,1985-02-06,
1_1_LT05_020045_19850206_12,1985-02-06,
1_1_LT05_020045_19850206_13,1985-02-06,
1_1_LT05_020045_19850206_14,1985-02-06,
1_1_LT05_020045_19850206_15,1985-02-06,
1_1_LT05_020045_19850206_16,1985-02-06,
1_1_LT05_020045_19850206_17,1985-02-06,
1_1_LT05_020045_19850206_18,1985-02-06,
1_1_LT05_020045_19850206_19,1985-02-06,
1_1_LT05_020045_19850206_20,1985-02-06,
1_1_LT05_020045_19850206_21,1985-02-06,
1_1_LT05_020045_19850206_22,1985-02-06,
1_1_LT05_020045_19850206_23,1985-02-06,
1_1_LT05_020045_19850206_24,1985-02-06,
1_1_LT05_020045_19850206_25,1985-02-06,
1_1_LT05_020045_19850206_26,1985-02-06,
1_1_LT05_020045_19850206_27,1985-02-06,
1_1_LT05_020045_19850206_28,1985-02-06,
1_1_LT05_020045_19850206_29,1985-02-06,
1_1_LT05_020045_19850206_30,1985-02-06,
1_1_LT05_020045_19850206_31,1985-02-06,0.4632880003099696
1_1_LT05_020045_19850206_32,1985-02-06,
1_1_LT05_020045_19850206_33,1985-02-06,
1_1_LT05_020045_19850206_34,1985-02-06,
1_1_LT05_020045_19850206_35,1985-02-06,
1_1_LT05_020045_19850206_36,1985-02-06,0.5945592358953481
1_1_LT05_020045_19850206_37,1985-02-06,
1_1_LT05_020045_19850206_38,1985-02-06,
1_1_LT05_020045_19850206_39,1985-02-06,
1_1_LT05_020045_19850206_40,1985-02-06,
1_1_LT05_020045_19850206_41,1985-02-06,
1_1_LT05_020045_19850206_42,1985-02-06,
1_1_LT05_020045_19850206_43,1985-02-06,
1_1_LT05_020045_19850206_44,1985-02-06,
1_1_LT05_020045_19850206_45,1985-02-06,
1_1_LT05_020045_19850206_46,1985-02-06,
1_1_LT05_020045_19850206_47,1985-02-06,
1_1_LT05_020045_19850206_48,1985-02-06,
1_1_LT05_020045_19850206_49,1985-02-06,
1_1_LT05_020045_19850206_50,1985-02-06,
1_1_LT05_020045_19850206_51,1985-02-06,
1_1_LT05_020045_19850206_52,1985-02-06,
1_1_LT05_020045_19850206_53,1985-02-06,
1_1_LT05_020045_19850206_54,1985-02-06,
1_1_LT05_020045_19850206_55,1985-02-06,
1_1_LT05_020045_19850206_56,1985-02-06,
1_1_LT05_020045_19850206_57,1985-02-06,
1_1_LT05_020045_19850206_58,1985-02-06,
1_1_LT05_020045_19850206_59,1985-02-06,
1_1_LT05_020045_19850206_60,1985-02-06,
1_1_LT05_020045_19850206_61,1985-02-06,
1_1_LT05_020045_19850206_62,1985-02-06,
1_1_LT05_020045_19850206_63,1985-02-06,
1_1_LT05_020045_19850206_64,1985-02-06,
1_1_LT05_020045_19850206_65,1985-02-06,
1_1_LT05_020045_19850206_66,1985-02-06,
1_1_LT05_020045_19850206_67,1985-02-06,
1_1_LT05_020045_19850206_68,1985-02-06,
1_1_LT05_020045_19850206_69,1985-02-06,
1_1_LT05_020045_19850206_70,1985-02-06,
1_1_LT05_020045_19850206_71,1985-02-06,
1_1_LT05_020045_19850206_72,1985-02-06,0.7118498775681908
1_1_LT05_020045_19850206_73,1985-02-06,
1_1_LT05_020045_19850206_74,1985-02-06,
1_1_LT05_020045_19850206_75,1985-02-06,
1_1_LT05_020045_19850206_76,1985-02-06,0.8196582543429285
1_1_LT05_020045_19850206_77,1985-02-06,
1_1_LT05_020045_19850206_78,1985-02-06,
1_1_LT05_020045_19850206_79,1985-02-06,
1_1_LT05_020045_19850206_80,1985-02-06,
1_1_LT05_020045_19850206_81,1985-02-06,
1_1_LT05_020045_19850206_82,1985-02-06,
1_1_LT05_020045_19850206_83,1985-02-06,
1_1_LT05_020045_19850206_84,1985-02-06,
1_1_LT05_020045_19850206_85,1985-02-06,
1_1_LT05_020045_19850206_86,1985-02-06,
1_1_LT05_020045_19850206_87,1985-02-06,
1_1_LT05_020045_19850206_88,1985-02-06,
1_1_LT05_020045_19850206_89,1985-02-06,
1_1_LT05_020045_19850206_90,1985-02-06,
1_1_LT05_020045_19850206_91,1985-02-06,
1_1_LT05_020045_19850206_92,1985-02-06,
1_1_LT05_020045_19850206_93,1985-02-06,
1_1_LT05_020045_19850206_94,1985-02-06,
1_1_LT05_020045_19850206_95,1985-02-06,
1_1_LT05_020045_19850206_96,1985-02-06,
1_1_LT05_020045_19850206_97,1985-02-06,
1_1_LT05_020045_19850206_98,1985-02-06,
1_1_LT05_020045_19850206_99,1985-02-06,0.7141678316607243
1_1_LT05_020045_19850206_100,1985-02-06,0.6510719182045935
1_1_LT05_020045_19850206_101,1985-02-06,0.7849664337007125
1_1_LT05_020045_19850206_102,1985-02-06,0.49563597283485233
1_1_LT05_020045_19850206_103,1985-02-06,0.7293085566031282
1_1_LT05_020045_19850206_104,1985-02-06,0.6563527218546104
1_1_LT05_020045_19850206_105,1985-02-06,0.5913823576868503
1_1_LT05_020045_19850206_106,1985-02-06,0.5166481162004931
1_1_LT05_020045_19850206_107,1985-02-06,0.7076137492073166
1_1_LT05_020045_19850206_108,1985-02-06,0.7289645847509706
1_1_LT05_020045_19850206_109,1985-02-06,0.7672551172632786
1_1_LT05_020045_19850206_110,1985-02-06,0.7628083838160823
